2026-07-17 18:38:44,799 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:44,804 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.585 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:44,804 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:45,315 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:45,315 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.585 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:45,315 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:45,829 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:45,829 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.585 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:45,830 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:46,331 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:46,331 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.585 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:46,331 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:46,842 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:46,842 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.585 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:46,842 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:47,347 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:47,347 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.3649999999998 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:47,347 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:47,851 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:47,851 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.3649999999998 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:47,851 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:48,357 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:48,357 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.3649999999998 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:48,357 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:48,863 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:48,864 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.3649999999998 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:48,864 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:49,373 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:49,373 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.3649999999998 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:49,373 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:49,874 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:49,874 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.3649999999998 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:49,875 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:50,380 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:50,380 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.3649999999998 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
